Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S7,KR,48,0.563,1.03,1824,51,1.545833333,11,10.7,6.8,5.9,50,47.9,2.13,59,0.42,57.1,0.42,0,-66,0.79,53.1,32.9,1950,4,1.02,1.59
bbq Olivers,S7,KR,45,0.289,0.79,1693,-172,1.485416667,8.2,10.4,4.4,8,37.8,40,1.42,40.6,0.31,35.9,0.33,-0.3,-390,0.44,27.4,32.4,1686,3.9,1.11,1.28
Ever8 Winners,S7,KR,41,0.268,0.75,1690,-195,1.477777778,8.9,11.8,4.3,8.1,43.9,34.1,1.12,30.5,0.46,51.4,0.17,-1,-1488,0.71,37.9,32.3,1592,3.9,1.22,1.34
Jin Air Green Wings,S7,KR,42,0.5,0.89,1797,15,1.571527778,9.7,10.8,6.7,6,59.5,57.1,1.64,43.5,0.62,70.3,0.36,0.5,741,1.07,56.7,32.8,1853,3.9,1.17,1.45
KT Rolster,S7,KR,47,0.66,1.6,1887,181,1.483333333,13.9,8.7,8,4.4,59.6,74.5,1.98,62.8,0.55,76.5,0.59,0.9,1683,0.87,63.9,32.7,1994,4,1.15,1.55
Longzhu Gaming,S7,KR,44,0.705,1.49,1888,200,1.493055556,13.8,9.3,7.9,4.1,61.4,63.6,2.02,61.3,0.52,60.5,0.68,0.5,1044,0.98,66.8,32.9,2055,3.8,0.89,1.44
MVP,S7,KR,42,0.31,0.74,1718,-144,1.584027778,9.2,12.5,4.8,8.2,33.3,50,2.14,54.2,0.26,31.4,0.74,-0.3,-638,0.83,39.1,31.8,1809,3.5,0.9,1.54
ROX Tigers,S7,KR,44,0.386,0.78,1735,-136,1.543055556,9.5,12.1,5.6,7.8,38.6,25,1,26.9,0.27,32.4,0.1,-0.6,-1456,0.82,41,31.9,1732,3.8,0.95,1.39
Samsung Galaxy,S7,KR,44,0.659,1.12,1852,107,1.484027778,9.9,8.8,7.6,5.2,56.8,47.7,2,60.7,0.32,41.2,0.61,0.1,326,0.75,55.3,34.2,1907,3.7,1.1,1.6
SK Telecom T1,S7,KR,41,0.634,1.01,1841,66,1.483333333,11,10.9,6.8,5.8,43.9,43.9,2.12,58,0.34,43.8,0.51,0.1,99,0.93,58.1,33.9,1867,3.4,0.83,1.48
