Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ALL IN,MID,15,0.4,2.3,1.5,3.1,5.5,7.8,350,0.596,21.4,331,1.13,0.6,0.24,0.39,-433,-10,-382,0.133,0.067,1,1
Aiming,ADC,29,0.345,3.4,3.2,2,3.4,9.8,430,0.67,32.6,504,1.47,0.48,0.47,0.16,120,-3,43,0.172,0.069,0,-
Aries,ADC,1,1,2,2,2,2,9.8,428,0.5,33.7,609,1.54,0.54,0.49,0.29,-888,-6,254,0,0,0,-
Bdd,MID,42,0.31,3,2.7,2.4,4.6,8.6,377,0.735,24.9,398,1.02,0.5,0.21,0.22,21,3,50,0.214,0.119,0,7
BeryL,SUPPORT,13,0.692,2.6,0.6,2.9,7,2.2,258,0.676,6.2,103,2.49,1.75,0.28,0.54,-83,0,-6,0.154,0.154,0,-
Brook,MID,6,0.333,1.3,1.2,2.5,2.2,8.2,346,0.415,18.3,247,0.89,0.57,0.17,0.29,-471,-18,-294,0,0.333,0,-
Canyon,JUNGLE,28,0.571,3.4,1.8,2.5,6.6,5.1,326,0.703,14.4,251,1.75,0.71,0.43,0.38,-313,-1,-235,0.214,0.179,0,1
CheonGo,MID,6,0,0.9,1.3,3.8,2.2,8.4,342,0.673,19.2,262,1.16,0.59,0.27,0.26,-370,-8,-178,0.167,0.167,0,1
CheonGo,TOP,3,0,2.5,1.3,2,3.7,7.9,343,0.337,13.5,194,1.06,0.63,0.16,0.3,-1276,-17,-449,0,0.333,0,-
Chovy,MID,39,0.795,10.7,3.4,0.8,5.6,10.2,441,0.612,26.3,463,1.13,0.41,0.33,0.13,705,14,576,0.333,0.026,0,16
Clid,JUNGLE,44,0.705,5.4,2.3,1.6,6.4,5.2,334,0.734,12.2,221,2.4,1.12,0.56,0.38,150,-1,69,0.636,0.045,0,6
Crush,JUNGLE,1,0,1,1,5,4,4.7,283,0.5,9.1,175,1.67,0.9,0.44,0.36,-1243,-1,86,0,0,0,-
CuVee,TOP,24,0.375,2.2,1.8,2.3,3.3,8.4,378,0.56,23.8,347,1.26,0.54,0.28,0.25,-93,-6,-61,0.125,0.167,0,5
Cuzz,JUNGLE,39,0.692,3.8,2.7,2.2,5.5,5.5,348,0.641,15.5,275,2.01,0.7,0.55,0.38,152,7,278,0.385,0.026,0,2
Deft,ADC,39,0.692,5.1,3.6,1.8,5.4,10,453,0.722,35.2,636,1.51,0.58,0.44,0.21,239,4,61,0.205,0.128,0,3
Dove,MID,44,0.636,4.4,2.8,1.8,5,8.7,394,0.684,24.5,433,1.15,0.47,0.3,0.26,12,4,121,0.159,0.068,0,6
Dread,JUNGLE,38,0.368,2.4,2.4,3.1,5.1,4.7,313,0.739,13.2,214,2.04,0.91,0.55,0.38,-84,-7,-318,0.447,0.105,0,2
Faker,MID,44,0.705,4,2.3,1.8,4.8,9,398,0.564,24.8,434,1.14,0.51,0.25,0.21,68,5,-70,0.295,0.045,0,8
Flame,TOP,12,0.5,3.7,2.9,1.8,3.9,8.8,403,0.566,25.2,421,0.89,0.45,0.18,0.14,-72,6,9,0.167,0.167,0,-
Fly,MID,39,0.333,2.4,1.4,2.3,4.1,8.4,355,0.624,24.8,361,1.09,0.5,0.25,0.23,-185,-6,-34,0.103,0.077,0,1
Gango,ADC,16,0.25,2.4,2.5,2.8,4.3,9.4,406,0.653,26.6,420,0.97,0.36,0.3,0.13,-304,-4,-115,0.188,0.063,0,-
Ghost,ADC,44,0.636,4.7,2.8,1.6,4.8,10.1,440,0.616,27.7,506,1.29,0.48,0.37,0.2,122,3,169,0.136,0.045,0,2
Grace,TOP,1,0,1.8,1,4,6,7.5,322,0.412,16.7,287,0.47,0.34,0.1,0.12,-768,-2,-191,0,0,0,-
Grace,MID,32,0.094,2,1.7,2.3,2.8,8.9,365,0.597,27.3,373,0.91,0.47,0.19,0.2,-292,-3,-153,0.25,0.063,0,10
Hoit,SUPPORT,29,0.552,4.2,0.5,2.1,8.1,1.8,271,0.712,7,119,2.8,1.63,0.46,0.46,-66,1,-73,0.172,0.034,0,-
Jelly,SUPPORT,23,0.304,2,0.4,3.1,6,1.7,235,0.605,7.6,115,2.37,1.48,0.32,0.47,-65,-3,-74,0.174,0.13,0,2
Joker,SUPPORT,44,0.636,2.4,0.5,3,6.8,1.9,275,0.644,8.1,145,2.82,1.87,0.45,0.53,142,1,69,0.227,0.136,0,-
KeY,SUPPORT,41,0.488,2.8,0.6,2.5,6.3,1.9,265,0.712,7.5,113,2.71,1.65,0.41,0.49,222,6,2,0.146,0.146,0,-
Kellin,SUPPORT,22,0.045,1.4,0.1,3,4.3,1.6,230,0.557,6.5,91,2.15,1.42,0.25,0.5,-414,-1,-365,0.182,0.182,0,-
Khan,TOP,44,0.705,4.1,2.6,1.7,4.4,9,416,0.611,26,465,1.15,0.57,0.19,0.25,209,4,79,0.295,0.091,0,10
Kiin,TOP,43,0.326,2.5,2.7,2.4,3.3,8.7,389,0.589,26.8,426,1.12,0.53,0.23,0.23,297,8,106,0.209,0.093,0,13
Lava,MID,22,0.409,2.9,2.3,2,3.5,8.5,372,0.679,28,380,1.15,0.5,0.31,0.29,-304,-10,-367,0.136,0.182,0,4
Lehends,SUPPORT,39,0.795,8.3,0.9,1.2,8.9,1.8,283,0.689,9.5,161,2.67,1.58,0.38,0.43,386,0,378,0.487,0.103,0,1
Life,SUPPORT,44,0.364,2.5,0.6,2.5,5.8,1.6,252,0.703,7.5,114,2.25,1.62,0.22,0.47,-82,0,-42,0.273,0.114,0,-
Lindarang,TOP,28,0.107,1.3,1.2,2.4,1.9,8.1,347,0.575,24.1,310,0.87,0.5,0.12,0.18,-290,-9,-237,0.214,0.143,0,4
