Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S10,KR,46,0.413,0.82,1667,-77,1.458333333,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,0.91,48.9,1.02,0,-475,0.54,42.5,31,1730,3.8,1.52,1.89
DAMWON Gaming,S10,KR,43,0.512,1.01,1784,54,1.396527778,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,1.19,64,1,0,15,0.74,49.5,33.7,1800,3.7,1.44,1.79
DragonX,S10,KR,46,0.674,1.42,1826,167,1.364583333,13.2,9.2,6.8,4.3,34.8,63,2.72,62.4,0.91,48.9,1.02,0.3,1434,0.7,62.4,34.2,1969,3.6,1.47,1.81
Gen.G eSports,S10,KR,44,0.705,1.59,1791,161,1.398611111,12.3,7.8,7.4,4.2,75,59.1,2.8,59.6,1,52.3,1.11,0.2,1203,0.8,69.9,33.1,1726,3.8,1.47,1.82
Griffin,S10,KR,45,0.356,0.83,1633,-133,1.41875,8.9,10.7,4,7.3,53.3,31.1,1.8,36.8,0.64,36.7,0.8,-0.5,-842,0.27,25.7,32,1532,3.9,1.6,1.72
Hanwha Life eSports,S10,KR,45,0.378,0.72,1655,-144,1.375694444,9.3,12.9,4.4,7,46.7,46.7,2.04,40.4,1,53.3,0.89,-0.2,-1133,0.42,39.6,31.5,1709,3.7,1.68,1.66
KT Rolster,S10,KR,46,0.522,1.05,1725,31,1.340972222,9.5,9,6.4,5.5,52.2,63,2.67,57.2,1.09,54.3,1.24,0.4,420,0.54,48.8,32.6,1697,3.7,1.58,1.79
Sandbox Gaming,S10,KR,44,0.364,0.84,1683,-73,1.400694444,9.8,11.6,5.1,6.1,36.4,47.7,2.2,45.1,0.77,39.8,0.93,0,-113,0.45,41.7,32.7,1625,3.9,1.56,1.87
SeolHaeOne Prince,S10,KR,43,0.395,0.75,1668,-116,1.435416667,11,14.5,5,6.9,48.8,53.5,2.28,42.1,1.02,54.7,0.6,0,-925,0.67,50.5,31.2,1827,3.7,1.44,1.78
T1,S10,KR,44,0.682,1.5,1790,131,1.424305556,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,0.89,47.7,0.95,-0.1,342,0.75,65.8,34,1739,4,1.42,1.82
