Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Aiming,SUPPORT,3,0.667,20.5,3,0.7,10.7,2.4,316,0.876,25,467,3.4,1.52,0.92,0.22,675,4,651,0.333,0,0,-
Aiming,ADC,27,0.37,2.9,3.3,2.3,3.4,10.2,434,0.703,33.9,620,1.37,0.44,0.42,0.14,99,8,-45,0.185,0.074,0,5
Bdd,MID,30,0.733,6.6,3.9,1.5,5.9,8.9,427,0.622,26.7,525,1.13,0.5,0.23,0.28,338,7,201,0.233,0.067,0,5
Ben,SUPPORT,28,0.536,3.6,0.3,2.2,7.6,0.9,220,0.675,7.5,138,2.24,1.49,0.2,0.5,-128,-1,61,0.25,0.071,0,-
BeryL,ADC,6,0.667,6.8,4.2,1.7,7.2,7.1,403,0.729,17.4,372,1.02,0.46,0.18,0.23,689,-8,516,0.333,0.167,0,1
BeryL,SUPPORT,22,0.909,4.9,2.2,2.2,8.7,1.6,275,0.608,9.6,222,3.38,1.86,0.61,0.47,324,7,-57,0.136,0.136,0,-
Beyond,JUNGLE,32,0.375,2.6,1.3,2.5,5.4,5.1,297,0.67,11.3,194,1.5,0.44,0.45,0.4,-194,-2,-212,0.188,0.094,0,-
CAD,JUNGLE,13,0.154,1.7,1.8,4,4.9,3.9,268,0.798,9.9,155,1.22,0.54,0.32,0.5,-489,-12,-668,0.308,0.154,0,3
Canna,TOP,31,0.645,4.7,3.2,1.7,4.9,8.6,412,0.614,24,455,1.04,0.42,0.21,0.17,18,-4,-13,0.258,0.129,0,23
Canyon,JUNGLE,28,0.857,8.1,3.1,1.4,8.2,6.1,375,0.634,13.9,314,1.68,0.52,0.41,0.34,844,14,851,0.393,0,1,5
Chovy,MID,35,0.714,4.4,3.5,2,5.4,9.7,439,0.703,26.5,528,1.29,0.4,0.4,0.14,285,13,332,0.257,0.086,0,3
Clid,JUNGLE,30,0.733,5.7,2.6,1.8,7.6,5.6,345,0.679,13.1,263,1.93,0.71,0.51,0.4,144,-4,-70,0.167,0.1,0,6
Clozer,MID,4,1,7.8,4.5,1,3.3,8.9,431,0.464,26.9,519,0.95,0.39,0.14,0.11,412,0,315,0,0,0,4
CuVee,TOP,8,0,0.9,1.5,4.3,2.3,7.2,325,0.534,27.1,367,1.06,0.52,0.21,0.29,-469,-5,-166,0,0.25,0,2
Cuzz,JUNGLE,24,0.667,4.8,1.9,1.6,5.9,5.7,329,0.676,14.2,261,1.89,0.55,0.54,0.36,96,6,292,0.375,0.083,0,1
Deft,ADC,33,0.727,5.1,3.4,1.8,5.6,9.8,438,0.689,28.6,584,1.27,0.48,0.35,0.16,347,9,165,0.242,0.061,0,2
Deft,SUPPORT,2,0.5,2,0,2,4,1.5,247,0.333,16,266,2.3,1.21,0.54,0.27,140,-6,7,0,0,0,-
Doran,TOP,35,0.714,2.6,2.8,2.9,4.8,8.7,408,0.598,21.3,415,0.98,0.44,0.19,0.14,167,5,135,0.2,0.229,0,13
Dove,MID,9,0.111,1.7,1.9,2.6,2.6,8.7,374,0.657,24.7,410,0.89,0.52,0.23,0.26,-540,-7,-432,0.222,0.111,0,-
DuDu,TOP,22,0.227,1.5,2.1,3.3,2.9,7.8,357,0.568,23,368,0.94,0.51,0.16,0.26,-174,2,123,0.227,0.273,0,9
Effort,SUPPORT,29,0.655,4.1,0.7,2.1,8,1.2,236,0.69,6.7,124,3.01,1.86,0.52,0.52,159,0,-96,0.345,0,0,-
Ellim,JUNGLE,7,0.571,7.1,2.6,1.4,7.6,5.2,321,0.593,10.6,217,1.72,0.54,0.43,0.39,-162,2,193,0.429,0.286,0,-
FATE,MID,23,0.522,5.1,3.8,1.7,4.7,8.9,412,0.73,30.3,548,1.23,0.52,0.26,0.2,117,3,48,0.13,0.043,0,7
Faker,MID,27,0.593,4.7,2.7,1.7,5.5,9,412,0.672,25.8,484,1.37,0.56,0.26,0.24,230,5,165,0.222,0.148,0,3
