Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S10,KR,28,0.536,1.06,1745,-17,1.3,11.4,10.8,5.1,5.5,57.1,39.3,2.25,50.1,0.86,46.3,0.75,-0.4,-507,0.46,47.7,32.8,1841,3.5,1.35,1.64
DAMWON Gaming,S10,KR,28,0.857,2.2,1997,394,1.176388889,17.5,7.9,8.6,2,53.6,92.9,2.54,67.4,1.5,78.6,1.04,1.4,3022,0.71,85,34.4,2239,3.5,1.28,1.55
DragonX,S10,KR,35,0.714,1.23,1869,167,1.329166667,13,10.5,7.1,4.1,48.6,42.9,2.4,53.4,0.86,44.3,0.86,-0.1,1150,0.8,69.3,35.1,1997,3.5,1.25,1.72
Gen.G eSports,S10,KR,30,0.733,1.56,1875,195,1.327083333,14.8,9.5,7.8,3.7,63.3,80,3.13,68.6,1.47,75,1.27,0.5,1262,0.77,71.4,33.9,1958,3.8,1.58,1.76
Hanwha Life eSports,S10,KR,30,0.167,0.55,1612,-283,1.295833333,7.9,14.5,2.6,8.6,36.7,26.7,1.77,36.7,0.6,33.3,0.97,-0.4,-1441,0.23,23.3,31.8,1579,3.8,1.72,1.47
KT Rolster,S10,KR,30,0.4,0.85,1719,-77,1.381944444,10.1,11.8,5,6.3,60,53.3,2.3,45.3,1.03,51.7,1.17,0,-14,0.57,41.7,32.8,1819,3.6,1.51,1.82
Sandbox Gaming,S10,KR,32,0.406,0.82,1701,-97,1.327083333,10.4,12.8,4.3,6.4,40.6,53.1,2.03,43.8,0.97,53.2,0.81,-0.3,-868,0.38,38.5,32.7,1759,3.6,1.67,1.95
SeolHaeOne Prince,S10,KR,30,0.167,0.46,1591,-316,1.293055556,7.7,16.6,3.1,8,50,23.3,1.6,32.7,0.6,30,0.63,-0.9,-2468,0.3,19.1,31,1589,3.4,1.34,1.53
T1,S10,KR,31,0.645,1.57,1858,165,1.36875,13.3,8.4,6.9,4.5,54.8,45.2,2.58,54.7,0.81,41.9,1.03,0.1,664,0.68,63.8,35.4,1889,4,1.44,1.9
Team Dynamics,S10,KR,32,0.375,0.76,1676,-125,1.351388889,9.6,12.6,4.4,5.9,37.5,46.9,2.38,48.2,0.97,48.4,1,0.1,-739,0.63,43.1,32.2,1702,3.6,1.37,1.71
