순위, 이름,대표소환사명,최근 소속,M,W,L,승률,TK(,TD,TA,K/M,D/M,A/M,KDA,킬관여
1,이상혁,Faker,SK Telecom T1,588,394,194,0.67,2167,1192,3070,3.7,2,5.2,4.4,0.675
2,고동빈,Score,KT Rolster,544,319,225,0.586,1509,1113,3550,2.8,2,6.5,4.5,0.723
3,강범현,GorillA,SANDBOX Gaming,487,304,183,0.624,321,1224,4060,0.7,2.5,8.3,3.6,0.678
4,김종인,PraY,kt Rolster,473,300,173,0.634,1691,935,2579,3.6,2,5.5,4.6,0.661
5,송경호,Smeb,KT Rolster,475,284,191,0.598,1294,1089,2648,2.7,2.3,5.6,3.6,0.647
6,이서행,Kuro,kt rolster,468,282,186,0.603,1542,830,2454,3.3,1.8,5.2,4.8,0.696
7,김혁규,Deft,DragonX,446,280,166,0.628,1528,859,2341,3.4,1.9,5.2,4.5,0.663
8,배준식,Bang,SK Telecom T1,431,271,160,0.629,1528,643,2203,3.5,1.5,5.1,5.8,0.675
9,조세형,Mata,SK Telecom T1,362,239,123,0.66,294,766,2967,0.8,2.1,8.2,4.3,0.665
10,이재완,Wolf,SK Telecom T1,370,237,133,0.641,255,769,3094,0.7,2.1,8.4,4.4,0.692
11,강찬용,Ambition,Gen.G e-sports,404,235,169,0.582,1009,1012,2446,2.5,2.5,6.1,3.4,0.686
12,이성진,CuVee,한화생명e스포츠,464,227,237,0.489,876,1149,1903,1.9,2.5,4.1,2.4,0.6
13,박종익,TusiN,,440,225,215,0.511,313,1031,3017,0.7,2.3,6.9,3.2,0.695
14,박재혁,Ruler,Gen.G e-sports,384,224,160,0.583,1224,614,1550,3.2,1.6,4,4.5,0.683
15,한왕호,Peanut,Gen.G e-sports,331,212,119,0.64,818,624,2018,2.5,1.9,6.1,4.5,0.701
16,곽보성,BDD,Gen.G e-sports,351,197,154,0.561,1140,590,1799,3.2,1.7,5.1,5,0.712
17,박진성,Teddy,T1,361,196,165,0.543,1270,504,1453,3.5,1.4,4,5.4,0.668
18,권상윤,Sangyoon,SRB,403,181,222,0.449,1189,704,1665,3,1.7,4.1,4.1,0.659
19,송용준,Fly,Afreeca Freecs,318,169,149,0.531,789,633,1698,2.5,2,5.3,3.9,0.669
20,김동하,Khan,FunPlus Phoenix,234,166,68,0.709,646,454,1053,2.8,1.9,4.5,3.7,0.604
21,이다윤,Spirit,Afreeca Freecs,285,156,129,0.547,624,654,1710,2.2,2.3,6,3.6,0.682
22,정지훈,Chovy,DragonX,221,149,72,0.674,700,294,1071,3.2,1.3,4.8,6,0.634
23,이민호,Crown,Gen.G e-sports,274,148,126,0.54,753,609,1100,2.7,2.2,4,3,0.65
24,장용준,Ghost,DAMWON Gaming,321,148,173,0.461,844,620,1345,2.6,1.9,4.2,3.5,0.63
25,홍민기,MadLife,CJ Entus,289,146,143,0.505,258,709,2523,0.9,2.5,8.7,3.9,0.737
26,허원석,Pawn,KING-ZONE DragonX,230,146,84,0.635,787,483,1296,3.4,2.1,5.6,4.3,0.677
27,김기인,Kiin,Afreeca Freecs,292,146,146,0.5,681,617,1170,2.3,2.1,4,3,0.604
28,문우찬,Cuzz,T1,221,142,79,0.643,451,440,1350,2,2,6.1,4.1,0.674
29,김찬호,ssumday,100 Thieves,235,139,96,0.591,702,518,1481,3,2.2,6.3,4.2,0.648
30,노동현,Arrow,KT Rolster,236,139,97,0.589,943,434,1385,4,1.8,5.9,5.4,0.705
31,박상면,Shy,ROX Tigers,244,135,109,0.553,635,579,1475,2.6,2.4,6,3.6,0.6
